time,date,hour,precip [mm/day],Sub36 [m3/s],Sub36 (observed) [m3/s],Sub43 [m3/s],Sub43 (observed) [m3/s]
526,2004-03-10,00:00:00.00,2.39527,2.49991,17.9,7.76986,46.9
527,2004-03-11,00:00:00.00,0,2.62663,13.4,4.41899,32.2
528,2004-03-12,00:00:00.00,1.96172,2.56786,12,4.84761,26.1
529,2004-03-13,00:00:00.00,1.92215,2.46811,9.94,5.13542,23.2
530,2004-03-14,00:00:00.00,0.137204,2.36267,7.28,5.13332,19.3
531,2004-03-15,00:00:00.00,1.84301,2.25943,7.31,4.98754,16.7
532,2004-03-16,00:00:00.00,0.125591,2.16017,7.39,4.79491,15.9
533,2004-03-17,00:00:00.00,2.57914,2.06516,7.19,4.59266,14.7
534,2004-03-18,00:00:00.00,2.64645,1.9743,5.62,4.39339,13.1
535,2004-03-19,00:00:00.00,0.137204,1.88743,6.36,4.20096,12
536,2004-03-20,00:00:00.00,0.325591,1.80438,5.27,4.0184,12.2
537,2004-03-21,00:00:00.00,6.03484,5.66256,7.51,9.0722,12.4
538,2004-03-22,00:00:00.00,0.0313979,8.13071,21.3,15.137,15.9
539,2004-03-23,00:00:00.00,0.256989,5.36258,13.9,13.7022,27.4
540,2004-03-24,00:00:00.00,0.474409,3.51749,9.58,9.77237,18.9
541,2004-03-25,00:00:00.00,2.57204,6.00097,7.66,11.9359,16.1
542,2004-03-26,00:00:00.00,2.59785,42.36,23.2,27.093,15.2
543,2004-03-27,00:00:00.00,11.3277,117.991,67.8,88.8233,45.7
544,2004-03-28,00:00:00.00,0,111.849,81.9,142.709,98.9
545,2004-03-29,00:00:00.00,0,37.7753,34.3,99.3858,101
546,2004-03-30,00:00:00.00,0.525591,9.36513,19.6,35.5315,43.4
547,2004-03-31,00:00:00.00,26.5161,20.4899,23.3,34.8365,35.6
548,2004-04-01,00:00:00.00,2.37677,30.8709,32.6,52.5001,76
549,2004-04-02,00:00:00.00,2.50925,22.0736,27.5,46.0624,76.6
550,2004-04-03,00:00:00.00,1.43484,13.8159,18.8,32.3601,41.5
551,2004-04-04,00:00:00.00,0.702366,9.13008,14,22.7264,30
552,2004-04-05,00:00:00.00,0.2,6.61874,10.5,16.388,22.6
553,2004-04-06,00:00:00.00,0.137204,5.3968,7.08,12.5333,18
554,2004-04-07,00:00:00.00,1.4,4.75313,4.75,10.5756,15.3
555,2004-04-08,00:00:00.00,0,4.48154,4.3,9.61155,13.6
556,2004-04-09,00:00:00.00,0,4.32366,3.87,9.10214,12.6
557,2004-04-10,00:00:00.00,0,4.15397,3.48,8.69378,11.7
558,2004-04-11,00:00:00.00,0,3.97446,3.06,8.31478,10.8
559,2004-04-12,00:00:00.00,0,3.80021,2.76,7.9545,9.99
560,2004-04-13,00:00:00.00,0.4,3.63567,2.51,7.6078,9.14
561,2004-04-14,00:00:00.00,5.7557,3.47829,2.53,7.30855,9.08
562,2004-04-15,00:00:00.00,0,3.32561,2.72,7.01631,9.06
563,2004-04-16,00:00:00.00,0,3.17933,2.4,6.69146,8.85
564,2004-04-17,00:00:00.00,0.537204,3.03944,2.2,6.38288,8.34
565,2004-04-18,00:00:00.00,5.58366,2.9057,2.24,6.12232,7.86
566,2004-04-19,00:00:00.00,16.1024,2.82611,4.46,6.29631,8.29
567,2004-04-20,00:00:00.00,3.30107,2.80033,14.2,6.52494,13.9
568,2004-04-21,00:00:00.00,1.17097,2.73242,8.47,6.22187,21.2
569,2004-04-22,00:00:00.00,9.50451,2.62924,6.16,6.01981,15.4
570,2004-04-23,00:00:00.00,0.137204,2.52649,8.54,5.8731,16.2
571,2004-04-24,00:00:00.00,0,2.4177,6.26,5.46539,16
572,2004-04-25,00:00:00.00,0,2.31434,4.5,5.10089,13.2
573,2004-04-26,00:00:00.00,4.30925,2.21443,3.65,4.85396,11.3
574,2004-04-27,00:00:00.00,8.72301,2.1544,3.75,4.88472,11
575,2004-04-28,00:00:00.00,1.98366,2.10392,3.88,4.95975,10.6
576,2004-04-29,00:00:00.00,0.388387,2.01897,3.53,4.72869,10.7
577,2004-04-30,00:00:00.00,0,1.93047,3.1,4.41341,9.76
578,2004-05-01,00:00:00.00,2.33506,1.84553,2.77,4.16818,8.79
579,2004-05-02,00:00:00.00,6.15355,1.76432,2.81,3.99108,8.47
580,2004-05-03,00:00:00.00,19.6718,1.8201,8.68,4.66605,11
581,2004-05-04,00:00:00.00,0,1.93258,19.5,5.12859,23.3
582,2004-05-05,00:00:00.00,0.874409,1.9136,11,4.51152,26.3
583,2004-05-06,00:00:00.00,5.28129,1.93849,8.32,4.26846,17.7
584,2004-05-07,00:00:00.00,1.2628,1.95844,7.51,4.37332,15
585,2004-05-08,00:00:00.00,0,1.87503,6.15,4.31721,13.4
586,2004-05-09,00:00:00.00,13.4,1.79936,5.38,4.34673,12.7
587,2004-05-10,00:00:00.00,14.9815,3.42912,19.2,6.10496,16.6
588,2004-05-11,00:00:00.00,5.29763,6.12816,30,9.03035,35.4
589,2004-05-12,00:00:00.00,0.2,5.97675,23.5,10.1223,44.8
590,2004-05-13,00:00:00.00,0,3.95035,12.9,9.10082,30.4
591,2004-05-14,00:00:00.00,1.52559,2.87212,8.78,7.5374,18.7
592,2004-05-15,00:00:00.00,7.57892,2.54435,6.91,6.39153,14.3
593,2004-05-16,00:00:00.00,1.02323,2.39758,9.62,5.67176,12.3
594,2004-05-17,00:00:00.00,0,2.28935,7.75,5.16371,14.2
595,2004-05-18,00:00:00.00,0,2.19111,5.52,4.804,12.4
596,2004-05-19,00:00:00.00,0.294194,2.09578,4.22,4.5471,10.7
597,2004-05-20,00:00:00.00,0.137204,2.00381,3.57,4.33574,9.24
598,2004-05-21,00:00:00.00,2.66968,1.9157,3.19,4.14743,8.22
599,2004-05-22,00:00:00.00,0.922151,1.83142,3,3.97158,7.72
600,2004-05-23,00:00:00.00,29.3583,1.76256,3.61,4.63381,7.61
601,2004-05-24,00:00:00.00,26.1183,19.2815,27.6,31.6036,19.1
602,2004-05-25,00:00:00.00,10.5493,40.3666,32.8,63.5545,67.5
603,2004-05-26,00:00:00.00,0.643011,40.5141,32.8,60.7685,92.2
604,2004-05-27,00:00:00.00,0.137204,23.8773,22.5,43.3044,77.4
605,2004-05-28,00:00:00.00,0.902366,7.82768,13.6,26.0146,28.3
606,2004-05-29,00:00:00.00,0,4.15953,9.68,13.9762,18.8
607,2004-05-30,00:00:00.00,0,3.14842,6.82,8.8835,14.7
608,2004-05-31,00:00:00.00,0,2.9236,5.03,6.90219,12.1
609,2004-06-01,00:00:00.00,7.16043,2.78121,4.09,6.04073,10.6
610,2004-06-02,00:00:00.00,3.40344,2.65687,4.4,5.6089,10.4
611,2004-06-03,00:00:00.00,1.96516,2.53968,4,5.30091,11.2
612,2004-06-04,00:00:00.00,0.137204,2.42789,3.7,5.00512,10.2
613,2004-06-05,00:00:00.00,0,2.32105,3.17,4.74364,8.72
614,2004-06-06,00:00:00.00,0,2.21892,2.9,4.52107,7.72
615,2004-06-07,00:00:00.00,0,2.12243,2.82,4.31951,6.98
616,2004-06-08,00:00:00.00,0,2.03199,2.71,4.12983,6.42
617,2004-06-09,00:00:00.00,0.482581,1.94479,2.72,3.94979,5.9
618,2004-06-10,00:00:00.00,2.63484,1.85972,2.46,3.78173,5.61
619,2004-06-11,00:00:00.00,1.45118,1.77801,2.56,3.62547,5.99
620,2004-06-12,00:00:00.00,0.137204,1.6998,2.4,3.47529,5.43
621,2004-06-13,00:00:00.00,0,1.62501,2.36,3.32784,5.24
622,2004-06-14,00:00:00.00,9.49549,1.55351,2.5,3.22467,4.99
623,2004-06-15,00:00:00.00,43.8215,59.2015,3.96,18.0409,5.76
624,2004-06-16,00:00:00.00,0.2,130.977,77.6,79.205,6.5
625,2004-06-17,00:00:00.00,0.337204,83.0721,30.3,114.465,79.5
626,2004-06-18,00:00:00.00,6.63699,14.9741,12,63.7381,30.2
627,2004-06-19,00:00:00.00,1.02323,6.49766,8.85,17.2361,15.5
628,2004-06-20,00:00:00.00,1.41161,3.25833,5.42,8.81963,12.7
629,2004-06-21,00:00:00.00,0,2.26744,3.51,6.11678,9.64
630,2004-06-22,00:00:00.00,6.65591,2.08151,2.45,4.4312,7.95
631,2004-06-23,00:00:00.00,0.6,1.97762,2.23,3.6001,7.07
632,2004-06-24,00:00:00.00,4.34882,1.88884,2.18,3.20991,6.55
633,2004-06-25,00:00:00.00,5.66065,1.80548,2.18,3.01313,6.18
634,2004-06-26,00:00:00.00,0.0627957,1.726,2.2,2.86659,5.84
635,2004-06-27,00:00:00.00,0,1.65004,2.56,2.72439,5.69
636,2004-06-28,00:00:00.00,0.613979,1.57864,2.04,2.59768,5.6
637,2004-06-29,00:00:00.00,0.168602,1.51214,1.78,2.48309,5.28
638,2004-06-30,00:00:00.00,0.686021,1.44777,1.65,2.37545,4.85
639,2004-07-01,00:00:00.00,0,1.38456,1.49,2.2728,4.56
640,2004-07-02,00:00:00.00,0,1.32374,1.49,2.17411,4.34
641,2004-07-03,00:00:00.00,0,1.26552,1.45,2.08305,4.06
642,2004-07-04,00:00:00.00,0,1.20984,1.36,2.00392,3.82
643,2004-07-05,00:00:00.00,4.01161,1.15661,1.31,1.93307,3.77
644,2004-07-06,00:00:00.00,0.325591,1.10572,1.39,1.85887,3.86
645,2004-07-07,00:00:00.00,3.57807,1.05706,1.7,1.78012,3.73
646,2004-07-08,00:00:00.00,14.1286,1.01055,1.9,1.71623,4
647,2004-07-09,00:00:00.00,0.419785,0.971216,2.5,1.65409,4.4
648,2004-07-10,00:00:00.00,0.137204,0.940569,5.08,1.58205,4.11
649,2004-07-11,00:00:00.00,0,0.908374,2.38,1.51611,6.84
650,2004-07-12,00:00:00.00,0,0.871151,1.49,1.45575,5.84
651,2004-07-13,00:00:00.00,0,0.833445,1.21,1.39746,4.66
652,2004-07-14,00:00:00.00,5.63161,0.799121,1.1,1.34263,4.09
653,2004-07-15,00:00:00.00,11.7097,0.80679,1.09,1.32536,4.05
654,2004-07-16,00:00:00.00,8.39312,1.39606,1.67,1.45789,4.08
655,2004-07-17,00:00:00.00,0.474409,2.31253,3.16,1.73362,4.02
656,2004-07-18,00:00:00.00,9.5957,3.44833,4.42,2.34949,4.76
657,2004-07-19,00:00:00.00,12.8834,5.01205,8.71,3.87058,5.49
658,2004-07-20,00:00:00.00,0.431398,5.07647,11,5.21146,11.5
659,2004-07-21,00:00:00.00,0.4,3.42426,6.6,5.20562,13.1
660,2004-07-22,00:00:00.00,3.9385,2.21391,3.59,4.37262,9.56
661,2004-07-23,00:00:00.00,2.2628,1.86842,2.55,3.37626,7.06
662,2004-07-24,00:00:00.00,0,1.75126,1.89,2.67461,6.04
663,2004-07-25,00:00:00.00,0,1.66922,1.64,2.30534,5.01
664,2004-07-26,00:00:00.00,0,1.59506,1.21,2.11583,4.48
665,2004-07-27,00:00:00.00,1.10237,1.52477,0.952,1.99431,4.07
666,2004-07-28,00:00:00.00,12.2628,1.45766,1.24,2.02565,4.12
667,2004-07-29,00:00:00.00,5.28129,1.46888,1.3,2.28404,4.67
668,2004-07-30,00:00:00.00,0,1.48479,1.39,2.39897,4.65
669,2004-07-31,00:00:00.00,7.27355,1.42704,1.16,2.27243,4.23
670,2004-08-01,00:00:00.00,31.8047,4.21399,4.58,3.94796,5.11
671,2004-08-02,00:00:00.00,0,8.32501,10.7,6.31689,8.48
672,2004-08-03,00:00:00.00,9.90495,10.0622,4.71,8.11514,13
673,2004-08-04,00:00:00.00,0.419785,10.6084,2.79,10.1685,8.44
674,2004-08-05,00:00:00.00,3.17204,8.56309,3.48,10.7977,6.33
675,2004-08-06,00:00:00.00,0.137204,4.90241,2.93,9.29461,5.97
676,2004-08-07,00:00:00.00,0,2.92788,2.25,6.92695,5.45
677,2004-08-08,00:00:00.00,0,2.36652,1.76,5.02186,4.72
678,2004-08-09,00:00:00.00,0,2.21493,1.45,3.8401,4.26
679,2004-08-10,00:00:00.00,0.388387,2.11417,1.14,3.25935,3.88
680,2004-08-11,00:00:00.00,0.725591,2.02067,1.02,2.96725,3.67
681,2004-08-12,00:00:00.00,8.41376,1.93169,0.744,2.88353,3.54
682,2004-08-13,00:00:00.00,0.2,1.84668,0.783,2.82177,3.4
683,2004-08-14,00:00:00.00,7.28129,1.76543,0.844,2.75593,3.66
684,2004-08-15,00:00:00.00,0.137204,1.68774,0.848,2.67786,3.75
685,2004-08-16,00:00:00.00,0,1.61348,0.751,2.47126,3.72
686,2004-08-17,00:00:00.00,0,1.54248,0.657,2.28955,3.49
687,2004-08-18,00:00:00.00,0.765162,1.47461,0.595,2.16735,3.22
688,2004-08-19,00:00:00.00,0.611613,1.41182,0.591,2.0688,3.14
689,2004-08-20,00:00:00.00,0,1.35287,0.582,1.98507,3.03
690,2004-08-21,00:00:00.00,0.0627957,1.29465,0.553,1.91246,2.87
691,2004-08-22,00:00:00.00,0,1.23798,0.539,1.83875,3.09
692,2004-08-23,00:00:00.00,0,1.18358,0.528,1.76216,2.83
693,2004-08-24,00:00:00.00,0.137204,1.13151,0.538,1.68645,2.75
694,2004-08-25,00:00:00.00,0,1.08173,0.481,1.61301,2.66
695,2004-08-26,00:00:00.00,1.67097,1.03413,0.475,1.54249,2.59
696,2004-08-27,00:00:00.00,10.2323,0.988628,0.595,1.63691,2.78
697,2004-08-28,00:00:00.00,2.73032,0.945127,0.66,1.71237,3.19
698,2004-08-29,00:00:00.00,41.9264,22.7359,0.858,41.5843,3.3
699,2004-08-30,00:00:00.00,19.4099,32.9224,1.2,87.1164,3.84
700,2004-08-31,00:00:00.00,0,13.4672,4.9,65.5303,7.01
701,2004-09-01,00:00:00.00,0.137204,4.10657,4.05,25.9866,6.41
702,2004-09-02,00:00:00.00,0,2.18197,2.03,10.409,7.34
703,2004-09-03,00:00:00.00,0,1.71528,1.3,6.03686,5.55
704,2004-09-04,00:00:00.00,0,1.60538,1,4.38413,4.42
705,2004-09-05,00:00:00.00,0,1.53394,0.803,3.66302,3.87
706,2004-09-06,00:00:00.00,0,1.46651,0.677,3.33351,3.46
707,2004-09-07,00:00:00.00,4.95484,1.40199,0.562,3.13478,3.2
708,2004-09-08,00:00:00.00,9.1957,1.53785,0.555,3.01754,3.14
709,2004-09-09,00:00:00.00,4.13269,2.26361,0.583,3.07153,3.06
710,2004-09-10,00:00:00.00,17.7647,3.55675,1,4.22019,3.68
711,2004-09-11,00:00:00.00,0.137204,4.11221,1.06,5.47383,4.24
712,2004-09-12,00:00:00.00,0,3.28952,0.818,5.48461,4.18
713,2004-09-13,00:00:00.00,0,2.42119,0.698,4.98218,3.93
714,2004-09-14,00:00:00.00,0,2.11642,0.606,4.34405,3.59
715,2004-09-15,00:00:00.00,0,1.9873,0.536,3.81837,3.32
716,2004-09-16,00:00:00.00,0,1.89472,0.503,3.48286,3.13
717,2004-09-17,00:00:00.00,0.886021,1.81062,0.499,3.26532,2.96
718,2004-09-18,00:00:00.00,0,1.73332,0.418,3.10395,2.88
719,2004-09-19,00:00:00.00,0,1.66029,0.394,2.96654,2.75
720,2004-09-20,00:00:00.00,0,1.58818,0.39,2.8386,2.63
721,2004-09-21,00:00:00.00,0,1.51852,0.405,2.71576,2.54
722,2004-09-22,00:00:00.00,0,1.45175,0.413,2.59737,2.5
723,2004-09-23,00:00:00.00,0,1.38788,0.385,2.4836,2.43
724,2004-09-24,00:00:00.00,0,1.32681,0.502,2.37454,2.36
725,2004-09-25,00:00:00.00,0,1.26843,0.496,2.27014,2.34
726,2004-09-26,00:00:00.00,0,1.21262,0.505,2.17034,2.35
727,2004-09-27,00:00:00.00,0,1.15926,0.479,2.08572,2.4
728,2004-09-28,00:00:00.00,0,1.10825,0.418,2.00861,2.38
729,2004-09-29,00:00:00.00,0,1.05949,0.395,1.92541,2.32
730,2004-09-30,00:00:00.00,0,1.01287,0.403,1.84252,2.27
